id	route	name	reference	status	level	funding	duration	core_options	eqa	link	last_updated
534	Sales, marketing and procurement	Senior housing and property management	ST0236	Approved for delivery	4	9000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/senior-housing-and-property-management-v1-0	26/11/2015
535	Sales, marketing and procurement	Housing and property management	ST0234	Approved for delivery	3	7000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/housing-and-property-management-v1-1	01/07/2019
536	Legal, finance and accounting	Mortgage adviser	ST0182	Approved for delivery	3	9000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/mortgage-adviser-v1-0	19/11/2015
537	Legal, finance and accounting	Insurance professional	ST0241	Approved for delivery	4	9000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/insurance-professional-v1-0	19/11/2015
538	Health and science	Dental nurse	ST0113	Approved for delivery	3	6000	18	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/dental-nurse-v1-1	03/10/2018
539	Legal, finance and accounting	Insurance practitioner	ST0240	Approved for delivery	3	7000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/insurance-practitioner-v1-1	03/10/2018
540	Engineering and manufacturing	Gas network craftsperson	ST0205	Approved for delivery	3	27000	48	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/gas-network-craftsperson-v1-2	22/05/2018
541	Engineering and manufacturing	Motor vehicle service and maintenance technician (light vehicle)	ST0033	Approved for delivery	3	15000	36	0	Retail Motor Industry Standards and Certification (RMISC)	https://www.instituteforapprenticeships.org/apprenticeship-standards/motor-vehicle-service-and-maintenance-technician-(light-vehicle)-v1-3	07/05/2019
542	Engineering and manufacturing	Gas network operative	ST0204	Approved for delivery	2	13000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/gas-network-operative-v1-1	20/04/2020
543	Business and administration	Chartered manager (degree)	ST0272	Approved for delivery	6	22000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/chartered-manager-(degree)-v1-0	08/10/2015
544	Engineering and manufacturing	Utilities engineering technician	ST0159	Approved for delivery	3	27000	48	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/utilities-engineering-technician-v1-1	06/05/2020
545	Sales, marketing and procurement	Butcher	ST0078	Approved for delivery	2	9000	18	1	Worshipful Company of Butchers	https://www.instituteforapprenticeships.org/apprenticeship-standards/butcher-v1-1	19/09/2016
546	Engineering and manufacturing	Systems engineer (degree)	ST0107	Approved for delivery	7	21000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/systems-engineer-(degree)-v1-1	09/04/2019
547	Construction	Installation electrician and maintenance electrician	ST0152	Approved for delivery	3	18000	42	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/installation-electrician-and-maintenance-electrician-v1-0	10/09/2015
548	Legal, finance and accounting	Paraplanner	ST0183	Approved for delivery	4	9000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/paraplanner-v1-0	10/09/2015
549	Construction	Refrigeration air conditioning and heat pump engineering technician	ST0322	Approved for delivery	3	18000	36	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/refrigeration-air-conditioning-and-heat-pump-engineering-technician-v1-1	22/05/2018
550	Construction	Surveying technician	ST0332	Approved for delivery	3	9000	24	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/surveying-technician-v1-0	10/09/2015
551	Construction	Chartered surveyor (degree)	ST0331	Approved for delivery	6	27000	60	1	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/chartered-surveyor-(degree)-v1-2	27/05/2020
552	Engineering and manufacturing	Aerospace engineer (degree)	ST0010	Approved for delivery	6	27000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/aerospace-engineer-(degree)-v1-0	03/09/2015
553	Engineering and manufacturing	Aerospace software development engineer (degree)	ST0013	Approved for delivery	6	27000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/aerospace-software-development-engineer-(degree)-v1-0	03/09/2015
554	Legal, finance and accounting	Conveyancing technician	ST0100	Approved for delivery	4	9000	12	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/conveyancing-technician-v1-0	03/09/2015
555	Legal, finance and accounting	Licensed conveyancer	ST0101	Approved for delivery	6	9000	18	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/licensed-conveyancer-v1-0	03/09/2015
556	Legal, finance and accounting	Chartered legal executive	ST0244	Approved for delivery	6	12000	60	0	CILEx Regulation	https://www.instituteforapprenticeships.org/apprenticeship-standards/chartered-legal-executive-v1-0	03/09/2015
557	Legal, finance and accounting	Paralegal	ST0245	Approved for delivery	3	8000	24	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/paralegal-v1-2	04/03/2019
558	Legal, finance and accounting	Solicitor	ST0246	Approved for delivery	7	27000	60	0	Solicitors Regulation Authority (SRA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/solicitor-v1-0	03/09/2015
559	Health and science	Laboratory scientist	ST0247	Retired	5	27000	60	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/laboratory-scientist-v1-0	03/09/2015
560	Engineering and manufacturing	Science industry maintenance technician	ST0249	Approved for delivery	3	27000	36	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/science-industry-maintenance-technician-v1-0	03/09/2015
561	Engineering and manufacturing	Nuclear health physics monitor	ST0290	Approved for delivery	2	9000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/nuclear-health-physics-monitor-v1-0	03/09/2015
562	Engineering and manufacturing	Nuclear scientist and nuclear engineer (integrated degree)	ST0289	Approved for delivery	6	27000	36	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/nuclear-scientist-and-nuclear-engineer-(integrated-degree)-v1-0	03/09/2015
563	Construction	Dual fuel smart meter installer	ST0158	Approved for delivery	2	10000	14	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/dual-fuel-smart-meter-installer-v1-1	03/10/2018
564	Engineering and manufacturing	Water process technician	ST0160	Approved for delivery	3	12000	48	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/water-process-technician-v1-0	27/08/2015
565	Legal, finance and accounting	Financial services customer adviser	ST0178	Approved for delivery	2	3500	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/financial-services-customer-adviser-v1-1	07/05/2019
566	Legal, finance and accounting	Investment operations administrator	ST0179	Approved for delivery	2	5000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/investment-operations-administrator-v1-0	27/08/2015
567	Legal, finance and accounting	Investment operations specialist	ST0180	Approved for delivery	4	9000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/investment-operations-specialist-v1-0	27/08/2015
568	Legal, finance and accounting	Senior financial services customer adviser	ST0185	Approved for delivery	3	8000	12	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/senior-financial-services-customer-adviser-v1-1	01/07/2019
569	Legal, finance and accounting	Workplace pensions (administrator or consultant)	ST0187	Approved for delivery	3	9000	18	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/workplace-pensions-(administrator-or-consultant)-v1-0	27/08/2015
570	Legal, finance and accounting	Investment operations technician	ST0181	Approved for delivery	3	9000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/investment-operations-technician-v1-0	27/08/2015
571	Transport and logistics	Able seafarer (deck)	ST0274	Approved for delivery	2	9000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/able-seafarer-(deck)-v1-0	27/08/2015
572	Engineering and manufacturing	Nuclear welding inspection technician	ST0292	Approved for delivery	4	27000	48	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/nuclear-welding-inspection-technician-v1-0	27/08/2015
573	Business and administration	Public service operational delivery officer	ST0314	Approved for delivery	3	2500	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/public-service-operational-delivery-officer-v1-1	01/07/2019
574	Engineering and manufacturing	Machinist (advanced manufacturing engineering)	ST0009	Retired	3	18000	42	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/machinist-(advanced-manufacturing-engineering)-v1-0	01/08/2015
575	Engineering and manufacturing	Aerospace manufacturing electrical, mechanical and systems fitter	ST0012	Retired	3	18000	42	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/aerospace-manufacturing-electrical,-mechanical-and-systems-fitter-v1-0	01/08/2015
576	Engineering and manufacturing	Aircraft maintenance fitter or technician (fixed and rotary wing)	ST0020	Retired	3	18000	36	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/aircraft-maintenance-fitter-or-technician-(fixed-and-rotary-wing)-v1-0	01/08/2015
577	Legal, finance and accounting	Actuarial technician	ST0004	Approved for delivery	4	15000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/actuarial-technician-v1-0	26/03/2015
578	Health and science	Dental laboratory assistant	ST0110	Retired	3	5000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/dental-laboratory-assistant-v1-0	26/03/2015
579	Agriculture, environmental and animal care	Golf greenkeeper	ST0209	Approved for delivery	2	6000	24	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/golf-greenkeeper-v1-0	26/03/2015
580	Creative and design	Junior journalist	ST0285	Approved for delivery	3	12000	18	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/junior-journalist-v1-0	26/03/2015
581	Construction	Property maintenance operative	ST0171	Approved for delivery	2	9000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/property-maintenance-operative-v1-0	26/03/2015
582	Construction	Railway engineering design technician	ST0315	Approved for delivery	3	18000	30	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/railway-engineering-design-technician-v1-1	21/08/2020
583	Health and science	Dental technician (integrated)	ST0108	Approved for delivery	5	18000	36	0	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/dental-technician-(integrated)-v1-3	09/08/2019
584	Business and administration	Dental practice manager	ST0109	Approved for delivery	4	9000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/dental-practice-manager-v1-1	28/08/2019
585	Digital	Digital and technology solutions professional (integrated degree)	ST0119	Approved for delivery	6	25000	36	1	TBC - Quality Assurance Agency (QAA)	https://www.instituteforapprenticeships.org/apprenticeship-standards/digital-and-technology-solutions-professional-(integrated-degree)-v1-1	13/05/2019
586	Engineering and manufacturing	Science manufacturing technician	ST0250	Approved for delivery	3	27000	18	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/science-manufacturing-technician-v1-0	09/12/2014
587	Engineering and manufacturing	Food and drink maintenance engineer	ST0195	Approved for delivery	3	27000	42	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/food-and-drink-maintenance-engineer-v1-0	09/12/2014
588	Health and science	Laboratory technician	ST0248	Approved for delivery	3	21000	24	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/laboratory-technician-v1-2	05/08/2020
589	Digital	Software developer	ST0116	Approved for delivery	4	18000	24	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/software-developer-v1-0	12/11/2014
590	Digital	Network engineer	ST0127	Approved for delivery	4	17000	24	0	National Skills Academy for Rail (NSAR)	https://www.instituteforapprenticeships.org/apprenticeship-standards/network-engineer-v1-1	04/03/2019
591	Engineering and manufacturing	Power network craftsperson	ST0156	Approved for delivery	3	26000	30	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/power-network-craftsperson-v1-1	04/03/2019
592	Legal, finance and accounting	Relationship manager (banking)	ST0184	Retired	6	27000	48	1	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/relationship-manager-(banking)-v1-0	12/11/2014
593	Legal, finance and accounting	Financial services administrator	ST0177	Approved for delivery	3	12000	12	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/financial-services-administrator-v1-0	12/11/2014
594	Engineering and manufacturing	Control technical support engineer	ST0023	Approved for delivery	6	27000	60	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/control-technical-support-engineer-v1-0	12/11/2014
595	Engineering and manufacturing	Electrical or electronic technical support engineer (degree)	ST0024	Approved for delivery	6	27000	60	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/electrical-or-electronic-technical-support-engineer-(degree)-v1-1	16/04/2018
596	Engineering and manufacturing	Manufacturing engineer (degree)	ST0025	Approved for delivery	6	27000	60	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/manufacturing-engineer-(degree)-v1-0	12/11/2014
597	Engineering and manufacturing	Product design and development engineer (degree)	ST0027	Approved for delivery	6	27000	60	0	Institute for Apprenticeships and Technical Education	https://www.instituteforapprenticeships.org/apprenticeship-standards/product-design-and-development-engineer-(degree)-v1-0	12/11/2014
598	Engineering and manufacturing	Aerospace manufacturing fitter	ST0011	Retired	3	18000	42	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/aerospace-manufacturing-fitter-v1-0	01/08/2014
599	Engineering and manufacturing	Product design and development technician	ST0028	Retired	3	18000	48	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/product-design-and-development-technician-v1-0	01/08/2014
600	Engineering and manufacturing	Mechatronics maintenance technician	ST0026	Retired	3	18000	48	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/mechatronics-maintenance-technician-v1-0	01/08/2014
601	Engineering and manufacturing	Caster	ST0079	Withdrawn	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/caster	14/11/2017
602	Engineering and manufacturing	Castings, foundry and patternmaking operative	ST0565	Withdrawn	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/castings,-foundry-and-patternmaking-operative	14/11/2017
603	Engineering and manufacturing	Ceramic mould maker operative	ST0084	Withdrawn	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/ceramic-mould-maker-operative	14/11/2017
604	Education and childcare	Early years lead practitioner (degree)	ST0552	Withdrawn	6	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/early-years-lead-practitioner-(degree)	14/11/2017
605	Education and childcare	Early years lead practitioner	ST0551	In development	5	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/early-years-lead-practitioner	14/11/2017
606	Agriculture, environmental and animal care	Environmental manager (degree)	ST0576	Withdrawn	7	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/environmental-manager-(degree)	14/11/2017
607	Construction	Fall protection technician	ST0614	In development	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/fall-protection-technician	14/11/2017
608	Engineering and manufacturing	Firing operative	ST0081	Withdrawn	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/firing-operative	14/11/2017
609	Engineering and manufacturing	Glass manufacturing operator	ST0206	Withdrawn	3	0	0	1	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/glass-manufacturing-operator	14/11/2017
610	Construction	Heritage carpenter and joiner	ST0560	Withdrawn	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/heritage-carpenter-and-joiner	14/11/2017
611	Creative and design	Jewellery, silversmithing, and allied trades professional	ST0439	In development	3	0	36	1	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/jewellery,-silversmithing,-and-allied-trades-professional	14/11/2017
612	Creative and design	Journeyman bookbinder	ST0468	In development	5	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/journeyman-bookbinder	14/11/2017
613	Construction	Metal decking installer	ST0462	Withdrawn	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/metal-decking-installer	14/11/2017
614	Engineering and manufacturing	Modeller	ST0083	Withdrawn	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/modeller	14/11/2017
615	Transport and logistics	Port agent	ST0544	In development	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/port-agent	14/11/2017
616	Transport and logistics	Port plant machinery operative	ST0308	In development	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/port-plant-machinery-operative	14/11/2017
617	Engineering and manufacturing	Process control systems engineer (degree)	ST0606	Withdrawn	6	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/process-control-systems-engineer-(degree)	14/11/2017
618	Agriculture, environmental and animal care	Resource technical manager	ST0546	Withdrawn	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/resource-technical-manager	14/11/2017
619	Engineering and manufacturing	Slip preparation operative	ST0086	Withdrawn	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/slip-preparation-operative	14/11/2017
620	Construction	Steeplejack	ST0578	Withdrawn	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/steeplejack	14/11/2017
621	Construction	Temporary traffic management operative	ST0573	Withdrawn	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/temporary-traffic-management-operative	14/11/2017
622	Care services	Youth worker	ST0522	In development	6	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/youth-worker	14/11/2017
623	Construction	In situ flooring operative	ST0579	Withdrawn	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/in-situ-flooring-operative	12/03/2018
624	Engineering and manufacturing	Gunsmith	ST0634	Withdrawn	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/gunsmith	17/05/2018
625	Engineering and manufacturing	Glass processor	ST0745	Withdrawn	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/glass-processor	06/07/2018
626	Engineering and manufacturing	Light water reactor scientist and engineer	ST0640	In development	7	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/light-water-reactor-scientist-and-engineer	14/08/2018
627	Agriculture, environmental and animal care	Dog grooming stylist	ST0754	Withdrawn	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/dog-grooming-stylist	29/08/2018
628	Transport and logistics	Express delivery sortation hub operative	ST0753	In development	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/express-delivery-sortation-hub-operative	29/08/2018
629	Transport and logistics	Transport and warehousing operations manager	ST0646	Withdrawn	5	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/transport-and-warehousing-operations-manager	06/09/2018
630	Transport and logistics	Transport and warehousing operations supervisor	ST0647	In development	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/transport-and-warehousing-operations-supervisor	06/09/2018
631	Construction	Glazier	ST0840	Withdrawn	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/glazier	16/11/2018
632	Health and science	Equestrian athlete	ST0839	Proposal in development	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/equestrian-athlete	16/11/2018
633	Health and science	Independent sexual violence advisor	ST0838	Withdrawn	4	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/independent-sexual-violence-advisor	16/11/2018
634	Engineering and manufacturing	Airworthiness maintenance engineer	ST0857	Withdrawn	6	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/airworthiness-maintenance-engineer	16/11/2018
635	Health and science	Sport performance analyst	ST0828	In development	5	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/sport-performance-analyst	16/11/2018
636	Business and administration	Scrum master	ST0816	Withdrawn	4	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/scrum-master	16/11/2018
637	Engineering and manufacturing	Project controls engineering professional	ST0845	In development	6	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/project-controls-engineering-professional	16/11/2018
638	Health and science	Meat hygiene inspector	ST0799	Withdrawn	5	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/meat-hygiene-inspector	16/11/2018
639	Engineering and manufacturing	Human factors specialist	ST0785	In development	6	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/human-factors-specialist	16/11/2018
640	Engineering and manufacturing	Nuclear reactor desk engineer	ST0784	In development	6	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/nuclear-reactor-desk-engineer	16/11/2018
641	Protective services	Corporate investigator	ST0780	Withdrawn	0	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/corporate-investigator	16/11/2018
642	Catering and hospitality	Head barista	ST0797	Withdrawn	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/head-barista	16/11/2018
643	Catering and hospitality	Visitor experience and economy leader	ST0777	Proposal in development	6	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/visitor-experience-and-economy-leader	16/11/2018
644	Legal, finance and accounting	Stock broker	ST0866	Withdrawn	6	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/stock-broker	16/11/2018
645	Health and science	Dispensing optician	ST0774	Proposal in development	0	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/dispensing-optician	16/11/2018
646	Health and science	Optometrist	ST0773	In development	7	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/optometrist	16/11/2018
647	Health and science	Sports coach	ST0770	In development	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/sports-coach	16/11/2018
648	Health and science	Critical care practitioner (Adult)	ST0768	Withdrawn	6	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/critical-care-practitioner-(adult)	16/11/2018
649	Health and science	Healthcare scientist	ST0758	Withdrawn	7	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/healthcare-scientist	16/11/2018
650	Construction	Damage management practitioner	ST0755	Withdrawn	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/damage-management-practitioner	16/11/2018
651	Digital	Digital device repair technician	ST0682	In development	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/digital-device-repair-technician	16/11/2018
652	Engineering and manufacturing	Furniture quality technician and production leader	ST0653	Withdrawn	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/furniture-quality-technician-and-production-leader	16/11/2018
653	Hair and beauty	Holistic therapist	ST0685	In development	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/holistic-therapist	16/11/2018
654	Engineering and manufacturing	Engineering geology (masters degree)	ST0660	Withdrawn	7	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/engineering-geology-(masters-degree)	16/11/2018
655	Engineering and manufacturing	Engineering geology degree	ST0661	Withdrawn	6	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/engineering-geology-degree	16/11/2018
656	Engineering and manufacturing	Construction equipment maintenance technician	ST0671	Proposal in development	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/construction-equipment-maintenance-technician	16/11/2018
657	Engineering and manufacturing	Electro-mechanical engineer	ST0672	In development	6	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/electro-mechanical-engineer	16/11/2018
658	Health and science	Pharmacist (degree)	ST0702	Proposal in development	7	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/pharmacist-(degree)	16/11/2018
659	Engineering and manufacturing	Animal feed and grain trade process operator (Level 2)	ST0680	Withdrawn	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/animal-feed-and-grain-trade-process-operator-(level-2)	16/11/2018
660	Engineering and manufacturing	Engineering process industries professional	ST0674	Withdrawn	7	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/engineering-process-industries-professional	16/11/2018
661	Engineering and manufacturing	Mineral processing general site operative	ST0676	Withdrawn	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/mineral-processing-general-site-operative	16/11/2018
662	Business and administration	Senior quality practitioner	ST0854	Withdrawn	5	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/senior-quality-practitioner	18/01/2019
663	Care services	Domestic violence and abuse advocate	ST0862	Proposal in development	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/domestic-violence-and-abuse-advocate	13/02/2019
664	Education and childcare	Playworker	ST0867	Proposal in development	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/playworker	13/02/2019
665	Care services	Early intervention practitioner	ST0868	Proposal in development	4	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/early-intervention-practitioner	13/02/2019
666	Legal, finance and accounting	Payroll assistant manager	ST0869	In development	5	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/payroll-assistant-manager	06/03/2019
667	Business and administration	Business support assistant	ST0870	Withdrawn	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/business-support-assistant	08/03/2019
668	Health and science	PE, PA and youth sport specialist	ST0874	Withdrawn	6	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/pe,-pa-and-youth-sport-specialist	05/04/2019
669	Engineering and manufacturing	Small vessel engineer	ST0875	Proposal in development	4	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/small-vessel-engineer	18/04/2019
670	Transport and logistics	Officer of the watch	ST0842	In development	3	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/officer-of-the-watch	30/04/2019
671	Engineering and manufacturing	Geotechnical engineer	ST0881	In development	7	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/geotechnical-engineer	13/05/2019
672	Health and science	Orthodontic therapist	ST0701	In development	4	0	13	0	Ofqual	https://www.instituteforapprenticeships.org/apprenticeship-standards/orthodontic-therapist	22/05/2019
673	Engineering and manufacturing	Power support operative	ST0871	Proposal in development	2	0	0	0	TBC	https://www.instituteforapprenticeships.org/apprenticeship-standards/power-support-operative	18/06/2019
